index,brand,name,disc_price,act_price,imag_url
75,perfectblue,womens digital linen saree unstitched blouse piece,379.0,2999.0,https://m.media-amazon.com/images/I/81mPhY7SFZL._AC_UL320_.jpg
76,runaya nx,saree bhagalpuri saree blouse piece,188.0,1299.0,https://m.media-amazon.com/images/I/91-xa4jNr0L._AC_UL320_.jpg
77,pandadi saree,womens chiffon bandhani saree blouse piece,730.0,1999.0,https://m.media-amazon.com/images/I/81jzAjv5rXS._AC_UL320_.jpg
78,womanista,womens crepe saree blouse piece,679.0,2199.0,https://m.media-amazon.com/images/I/71TJ9p46PVL._AC_UL320_.jpg
79,indian pehnawa,star black colour saree blouse piesce,999.0,3999.0,https://m.media-amazon.com/images/I/91MbzxkRIaS._AC_UL320_.jpg
80,glory sarees,womens kanchipuram art silk saree blouse piece,870.0,3999.0,https://m.media-amazon.com/images/I/919lNOaU-GL._AC_UL320_.jpg
81,jaam silk fashion,womens floral woven banarasi silk saree blouse piece,899.0,4299.0,https://m.media-amazon.com/images/I/81ZYhK+aPEL._AC_UL320_.jpg
82,mimosa,womens kanjivaram art silk saree blouse piece sd grn,1572.0,4999.0,https://m.media-amazon.com/images/I/81pMxg+1AUS._AC_UL320_.jpg
83,vaividhyam,womens banglori malai saree blouse piece,521.0,549.0,https://m.media-amazon.com/images/I/61659yf4x5L._AC_UL320_.jpg
84,jeivkh,womens saree,319.0,999.0,https://m.media-amazon.com/images/I/91Otho+A39L._AC_UL320_.jpg
85,yashika,womens art silk kalamkari bhagalpuri style saree blouse piece,269.0,1699.0,https://m.media-amazon.com/images/I/81anIX8V-2L._AC_UL320_.jpg
86,gosriki,art silk blouse piece saree,349.0,2599.0,https://m.media-amazon.com/images/I/81uSvaWKNtL._AC_UL320_.jpg
87,anni designer,womens pure cotton printed saree,369.0,2999.0,https://m.media-amazon.com/images/I/91DxKcRQmUS._AC_UL320_.jpg
88,haider ali and sons,womens linen slub saree blouse piece,578.0,1499.0,https://m.media-amazon.com/images/I/61XDZdXpkbL._AC_UL320_.jpg
89,womanista,womens jacquard chiffon saree blouse,619.0,1999.0,https://m.media-amazon.com/images/I/81njj0BFP6L._AC_UL320_.jpg
90,greciilooks,soft cotton silk saree women beautiful women saree,559.0,1499.0,https://m.media-amazon.com/images/I/81Uvigmp-qS._AC_UL320_.jpg
91,bhakarwadi,womens art silk saree blouse piece,347.0,1599.0,https://m.media-amazon.com/images/I/91Xw4KtmTXL._AC_UL320_.jpg
92,applix style,women banarasi soft lichi silk saree blouse piece,1497.0,4899.0,https://m.media-amazon.com/images/I/711m6OhXxVS._AC_UL320_.jpg
93,sgf11,womens kanjivaram soft silk saree blouse piece,849.0,5999.0,https://m.media-amazon.com/images/I/51bboB2A9IS._AC_UL320_.jpg
94,gauri laxmi enterprise,womens cotton silk saree unstitched blouse piece,419.0,899.0,https://m.media-amazon.com/images/I/71iiGm-PxTL._AC_UL320_.jpg
95,gosriki,womens cotton saree blouse,349.0,1999.0,https://m.media-amazon.com/images/I/71Ecj9TEFLL._AC_UL320_.jpg
96,perfectblue,womens blend linen silk digital saree blouse piece,349.0,1999.0,https://m.media-amazon.com/images/I/81HWahslWUL._AC_UL320_.jpg
97,first select clothes,womens banarasi cotton silk saree un stitched blouse,449.0,1000.0,https://m.media-amazon.com/images/I/516FPFz2XgL._AC_UL320_.jpg
98,oomph!,womens satin plain sarees satin plain satin,329.0,1670.0,https://m.media-amazon.com/images/I/91mv3AGGwXL._AC_UL320_.jpg
99,anni designer,raniyal georgette saree blouse piece,269.0,2499.0,https://m.media-amazon.com/images/I/61oUlL8iD2L._AC_UL320_.jpg
100,anand sarees,georgette blouse piece saree,349.0,1999.0,https://m.media-amazon.com/images/I/71RQisQ60+L._AC_UL320_.jpg
101,msretail,woven banarasi patola silk saree women,1133.0,6100.0,https://m.media-amazon.com/images/I/714Aq0gsInL._AC_UL320_.jpg
102,hithrow,silk saree blouse piece,349.0,999.0,https://m.media-amazon.com/images/I/91Qd3yK7xJL._AC_UL320_.jpg
103,happyap,womens kanjivaram style zari woven jacquard pure banarasi soft lichi silk saree blouse,999.0,3999.0,https://m.media-amazon.com/images/I/71xBe0IfxmL._AC_UL320_.jpg
104,sgf11,women kanjivaram soft lichi silk saree blouse piece,799.0,5999.0,https://m.media-amazon.com/images/I/61UA30z1xkL._AC_UL320_.jpg
105,anni designer,khadi silk blouse piece saree,269.0,2499.0,https://m.media-amazon.com/images/I/910KJPiGcYL._AC_UL320_.jpg
106,oomph!,womens art silk printed kalamkari sarees tassles,309.0,1670.0,https://m.media-amazon.com/images/I/91HDLZc8wRL._AC_UL320_.jpg
107,satrani,womens poly silk dembroidery saree blouse piece,619.0,2533.0,https://m.media-amazon.com/images/I/61B1uFGUcML._AC_UL320_.jpg
108,perfectblue,womens satin saree unstitched blouse piece,309.0,1999.0,https://m.media-amazon.com/images/I/81V-m62zsQL._AC_UL320_.jpg
109,arohi designer,womens jamawar silk saree un stitched blouse,1794.0,9396.0,https://m.media-amazon.com/images/I/919bFZmaN-L._AC_UL320_.jpg
110,hithrow,cotton saree blouse piece,249.0,999.0,https://m.media-amazon.com/images/I/81VbefGzjJS._AC_UL320_.jpg
111,clothfab,womens hot new releases sarees women latest design party wear new collection saree rupees sarees,999.0,1999.0,https://m.media-amazon.com/images/I/71fnHZeVG5L._AC_UL320_.jpg
112,perfectblue,women art silk saree blouse piece,329.0,2999.0,https://m.media-amazon.com/images/I/715NYXDhD-L._AC_UL320_.jpg
113,sourbh,womens chiffon saree blouse piece,479.0,1999.0,https://m.media-amazon.com/images/I/91k+Deok71L._AC_UL320_.jpg
114,swornof,buti multicolor jacquard kota doria cotton saree blouse piece,399.0,2800.0,https://m.media-amazon.com/images/I/915aicKUiZS._AC_UL320_.jpg
115,panchaamrit,soft kota chanderi silk blend jacqaurd woven saree unstitched contrast blouse piece lichi silk saree soft golden zari work,799.0,2999.0,https://m.media-amazon.com/images/I/91bcbe6q-kS._AC_UL320_.jpg
116,pandadi saree,womens woven banarasi patola silk saree unstitched blouse piece,999.0,1999.0,https://m.media-amazon.com/images/I/71T0+YE+aAL._AC_UL320_.jpg
117,arriva fab,women saree,1179.0,5299.0,https://m.media-amazon.com/images/I/91dsIB8JSPL._AC_UL320_.jpg
118,pisara,womens chanderi silk blend saree unstitched running blouse,480.0,2499.0,https://m.media-amazon.com/images/I/916ROGKpL1L._AC_UL320_.jpg
119,pratham blue,womens sequins net fancy saree blouse piece,999.0,3999.0,https://m.media-amazon.com/images/I/81xVJctVTbL._AC_UL320_.jpg
120,mysilk saree,boys pure cotton half pants pack,890.0,1200.0,https://m.media-amazon.com/images/I/41+k7JGhX2L._AC_UL320_.jpg
121,mimosa,womens kanchipuram silk saree blouse piece,6224.0,19999.0,https://m.media-amazon.com/images/I/91DatpMc4zL._AC_UL320_.jpg
122,mimosa,womens kanchipuram tussar silk saree unstitched blouse piece,1244.0,3299.0,https://m.media-amazon.com/images/I/910UgC0BCaL._AC_UL320_.jpg
123,velmita,womens banarasi silk saree blouse piece,807.0,2249.0,https://m.media-amazon.com/images/I/91pckD1KAeS._AC_UL320_.jpg
124,satrani,womens floral printed georgette saree blouse piece,309.0,1113.0,https://m.media-amazon.com/images/I/71fgV9e+nES._AC_UL320_.jpg
125,runaya nx,womens georgette sarees blouse piece fancy saree,188.0,1299.0,https://m.media-amazon.com/images/I/81KsEnzQMtL._AC_UL320_.jpg
126,anaya handloom,womens bhagalpuri linen saree blouse piece,576.0,1499.0,https://m.media-amazon.com/images/I/61RP+3b6doL._AC_UL320_.jpg
127,nilkanth exclusive,georgette saree daily wear plain lace border saree banglori silk blouse,499.0,999.0,https://m.media-amazon.com/images/I/81cVgUHe0UL._AC_UL320_.jpg
128,vaamsi,georgette blouse piece saree,275.0,1665.0,https://m.media-amazon.com/images/I/81JhrzGS7CL._AC_UL320_.jpg
129,kanchnar,womens chiffon printed saree,489.0,2179.0,https://m.media-amazon.com/images/I/71AB3ZkmnfL._AC_UL320_.jpg
130,avantika fashion,womens solid kanjivaram soft litchi silk saree blouse piece,790.0,3499.0,https://m.media-amazon.com/images/I/61DGWxkVh-S._AC_UL320_.jpg
131,anni designer,women saree,279.0,2599.0,https://m.media-amazon.com/images/I/61c6i7csfzL._AC_UL320_.jpg
132,siril,womens floral printed georgette saree blouse,371.0,1283.0,https://m.media-amazon.com/images/I/71IL38UFA5L._AC_UL320_.jpg
133,anni designer,cotton saree blouse piece,349.0,4999.0,https://m.media-amazon.com/images/I/81YQ4TOE5kL._AC_UL320_.jpg
134,satrani,womens chiffon dyed plain saree blouse piece,529.0,2158.0,https://m.media-amazon.com/images/I/61SIGOpJ76L._AC_UL320_.jpg
135,womanista,womens pink chiffon floral printed saree,459.0,1559.0,https://m.media-amazon.com/images/I/71oyKDHk1mL._AC_UL320_.jpg
136,womanista,ti womens crepe saree blouse piece,539.0,1819.0,https://m.media-amazon.com/images/I/81wr1QpnNyL._AC_UL320_.jpg
137,being banarasi,women jacquard silk saree,499.0,1999.0,https://m.media-amazon.com/images/I/710E2kZkzHS._AC_UL320_.jpg
138,manohari,jacquard woven saree unstitched blouse,1699.0,4999.0,https://m.media-amazon.com/images/I/9185vn7bFpS._AC_UL320_.jpg
139,n h fashion,womens cotton blouse piece free size,710.0,1299.0,https://m.media-amazon.com/images/I/61Ut9lkQMIS._AC_UL320_.jpg
140,velmita,womens banarasi silk saree blouse piece,809.0,3299.0,https://m.media-amazon.com/images/I/71eh74DlnGS._AC_UL320_.jpg
141,womanista,womens crepe saree blouse,549.0,1849.0,https://m.media-amazon.com/images/I/81piPQ3XjgL._AC_UL320_.jpg
